Lambda,D_rot,score
10000000.0,0.0,0.9825
10000000.0,0.0,0.9819
10000000.0,0.0,0.9819
10000000.0,0.0,0.9829
10000000.0,0.0,0.9841
10000000.0,0.0,0.9841
10000000.0,0.0,0.9829
10000000.0,0.0,0.984
10000000.0,0.0,0.9821
10000000.0,0.0,0.9833
10000000.0,0.0,0.9832
10000000.0,0.0,0.985
10000000.0,0.0,0.9829
10000000.0,0.0,0.9816
10000000.0,0.0,0.9837
10000000.0,0.0,0.9812
10000000.0,0.0,0.9828
10000000.0,0.0,0.9822
10000000.0,0.0,0.9841
10000000.0,0.0,0.9833
10000000.0,0.0,0.9835
10000000.0,0.0,0.9829
10000000.0,0.0,0.9833
10000000.0,0.0,0.9828
10000000.0,0.0,0.9853
10000000.0,0.0,0.9844
10000000.0,0.0,0.9836
10000000.0,0.0,0.9832
10000000.0,0.0,0.9829
10000000.0,0.0,0.9839
10000000.0,0.0,0.9832
10000000.0,0.0,0.9837
10000000.0,0.0,0.9836
10000000.0,0.0,0.9826
10000000.0,0.0,0.9836
10000000.0,0.0,0.9826
10000000.0,0.0,0.9841
10000000.0,0.0,0.9837
10000000.0,0.0,0.9828
10000000.0,0.0,0.9846
100000.0,0.0,0.8622
100000.0,0.0,0.8695
100000.0,0.0,0.8717
100000.0,0.0,0.8731
100000.0,0.0,0.8685
100000.0,0.0,0.8612
100000.0,0.0,0.8663
100000.0,0.0,0.8628
100000.0,0.0,0.864
100000.0,0.0,0.8672
100000.0,0.0,0.8644
100000.0,0.0,0.8675
100000.0,0.0,0.8649
100000.0,0.0,0.8578
100000.0,0.0,0.8616
100000.0,0.0,0.8631
100000.0,0.0,0.8656
100000.0,0.0,0.8686
100000.0,0.0,0.8659
100000.0,0.0,0.8625
100000.0,0.0,0.8652
100000.0,0.0,0.8588
100000.0,0.0,0.8671
100000.0,0.0,0.8642
100000.0,0.0,0.8696
100000.0,0.0,0.8703
100000.0,0.0,0.8646
100000.0,0.0,0.8611
100000.0,0.0,0.862
100000.0,0.0,0.8637
100000.0,0.0,0.8639
100000.0,0.0,0.8646
100000.0,0.0,0.8621
100000.0,0.0,0.8655
100000.0,0.0,0.8653
